dataset,normalize,input_window,score_smoothing,is_headline,method,auprc_mean,auprc_sd,auprc_random_mean,n_pairs,n_better_than_control,control_sign_p,distinguishable,rank,reference_rank,rank_changed,reference_distinguishable,kendall_tau,n_discordant_pairs,n_discordant_pairs_distinguishable
mgab,minmax,8,8,False,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,4,5,True,False,0.7333333333333333,2,0
mgab,minmax,8,8,False,moving_statistics,0.05529429544103737,0.010222576104277918,0.056650660484146395,15,4,0.982421875,False,6,4,True,False,0.7333333333333333,2,0
mgab,minmax,8,8,False,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,3,3,False,False,0.7333333333333333,2,0
mgab,minmax,8,8,False,input_norm_control,0.05541199621906891,0.010616438199214661,0.056650660484146395,15,5,0.940765380859375,False,5,6,True,False,0.7333333333333333,2,0
mgab,minmax,8,16,False,esn_residual,0.18750109679110585,0.01684872766819463,0.057047673586720374,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,minmax,8,16,False,delay_line_residual,0.05806613422524777,0.012606139936352876,0.057047673586720374,15,10,0.15087890625,False,2,2,False,False,0.7333333333333333,2,0
mgab,minmax,8,16,False,persistence_residual,0.055920425255537226,0.010810678472457159,0.057047673586720374,15,7,0.696380615234375,False,4,5,True,False,0.7333333333333333,2,0
mgab,minmax,8,16,False,moving_statistics,0.05484755519742956,0.011080828529781312,0.057047673586720374,15,6,0.84912109375,False,6,4,True,False,0.7333333333333333,2,0
mgab,minmax,8,16,False,random_control,0.057047673586720374,0.013078527464569122,0.057047673586720374,15,0,1.0,False,3,3,False,False,0.7333333333333333,2,0
mgab,minmax,8,16,False,input_norm_control,0.0557378135572001,0.011147652273664172,0.057047673586720374,15,6,0.84912109375,False,5,6,True,False,0.7333333333333333,2,0
mgab,minmax,16,1,False,esn_residual,0.12477555030724206,0.010151460608521571,0.05615605185339527,15,15,3.0517578125e-05,True,1,1,False,True,0.6,3,0
mgab,minmax,16,1,False,delay_line_residual,0.05593399515335272,0.010689118978802366,0.05615605185339527,15,5,0.940765380859375,False,4,2,True,False,0.6,3,0
mgab,minmax,16,1,False,persistence_residual,0.05582603223415467,0.010072667771009534,0.05615605185339527,15,6,0.84912109375,False,5,5,False,False,0.6,3,0
mgab,minmax,16,1,False,moving_statistics,0.05628788497498015,0.010441009443617724,0.05615605185339527,15,9,0.303619384765625,False,2,4,True,False,0.6,3,0
mgab,minmax,16,1,False,random_control,0.05615605185339527,0.010218833085648919,0.05615605185339527,15,0,1.0,False,3,3,False,False,0.6,3,0
mgab,minmax,16,1,False,input_norm_control,0.0553272588904776,0.010587286824023634,0.05615605185339527,15,2,0.99951171875,False,6,6,False,False,0.6,3,0
mgab,minmax,16,8,False,esn_residual,0.16327650785506337,0.014686554757278189,0.056650660484146395,15,15,3.0517578125e-05,True,1,1,False,True,1.0,0,0
mgab,minmax,16,8,False,delay_line_residual,0.056967042306332115,0.011790983787448063,0.056650660484146395,15,9,0.303619384765625,False,2,2,False,False,1.0,0,0
mgab,minmax,16,8,False,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,5,5,False,False,1.0,0,0
mgab,minmax,16,8,False,moving_statistics,0.056048530821356586,0.01106145602840002,0.056650660484146395,15,7,0.696380615234375,False,4,4,False,False,1.0,0,0
mgab,minmax,16,8,False,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,3,3,False,False,1.0,0,0
mgab,minmax,16,8,False,input_norm_control,0.05541199621906891,0.010616438199214661,0.056650660484146395,15,5,0.940765380859375,False,6,6,False,False,1.0,0,0
mgab,minmax,16,16,False,esn_residual,0.18750109679110585,0.01684872766819463,0.057047673586720374,15,15,3.0517578125e-05,True,1,1,False,True,1.0,0,0
mgab,minmax,16,16,False,delay_line_residual,0.058496967533479445,0.013750343175341623,0.057047673586720374,15,9,0.303619384765625,False,2,2,False,False,1.0,0,0
mgab,minmax,16,16,False,persistence_residual,0.055920425255537226,0.010810678472457159,0.057047673586720374,15,7,0.696380615234375,False,5,5,False,False,1.0,0,0
mgab,minmax,16,16,False,moving_statistics,0.05592067129504764,0.011411675854101038,0.057047673586720374,15,6,0.84912109375,False,4,4,False,False,1.0,0,0
mgab,minmax,16,16,False,random_control,0.057047673586720374,0.013078527464569122,0.057047673586720374,15,0,1.0,False,3,3,False,False,1.0,0,0
mgab,minmax,16,16,False,input_norm_control,0.0557378135572001,0.011147652273664172,0.057047673586720374,15,6,0.84912109375,False,6,6,False,False,1.0,0,0
mgab,minmax,32,1,False,esn_residual,0.12477555030724206,0.010151460608521571,0.05615605185339527,15,15,3.0517578125e-05,True,1,1,False,True,0.4666666666666667,4,0
mgab,minmax,32,1,False,delay_line_residual,0.055785802718240275,0.010679521624291234,0.05615605185339527,15,5,0.940765380859375,False,4,2,True,False,0.4666666666666667,4,0
mgab,minmax,32,1,False,persistence_residual,0.05582603223415467,0.010072667771009534,0.05615605185339527,15,6,0.84912109375,False,3,5,True,False,0.4666666666666667,4,0
mgab,minmax,32,1,False,moving_statistics,0.054571038604194294,0.01034203437347568,0.05615605185339527,15,0,1.0,False,6,4,True,False,0.4666666666666667,4,0
mgab,minmax,32,1,False,random_control,0.05615605185339527,0.010218833085648919,0.05615605185339527,15,0,1.0,False,2,3,True,False,0.4666666666666667,4,0
mgab,minmax,32,1,False,input_norm_control,0.0553272588904776,0.010587286824023634,0.05615605185339527,15,2,0.99951171875,False,5,6,True,False,0.4666666666666667,4,0
mgab,minmax,32,8,False,esn_residual,0.16327650785506337,0.014686554757278189,0.056650660484146395,15,15,3.0517578125e-05,True,1,1,False,True,0.6,3,0
mgab,minmax,32,8,False,delay_line_residual,0.05641124746839743,0.01250202788946092,0.056650660484146395,15,7,0.696380615234375,False,3,2,True,False,0.6,3,0
mgab,minmax,32,8,False,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,4,5,True,False,0.6,3,0
mgab,minmax,32,8,False,moving_statistics,0.054223942237873045,0.010421803801559994,0.056650660484146395,15,3,0.996307373046875,False,6,4,True,False,0.6,3,0
mgab,minmax,32,8,False,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,2,3,True,False,0.6,3,0
mgab,minmax,32,8,False,input_norm_control,0.05541199621906891,0.010616438199214661,0.056650660484146395,15,5,0.940765380859375,False,5,6,True,False,0.6,3,0
mgab,minmax,32,16,False,esn_residual,0.18750109679110585,0.01684872766819463,0.057047673586720374,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,minmax,32,16,False,delay_line_residual,0.057536751847753656,0.014297106663037826,0.057047673586720374,15,9,0.303619384765625,False,2,2,False,False,0.7333333333333333,2,0
mgab,minmax,32,16,False,persistence_residual,0.055920425255537226,0.010810678472457159,0.057047673586720374,15,7,0.696380615234375,False,4,5,True,False,0.7333333333333333,2,0
mgab,minmax,32,16,False,moving_statistics,0.05492743849916902,0.011763070260775095,0.057047673586720374,15,6,0.84912109375,False,6,4,True,False,0.7333333333333333,2,0
mgab,minmax,32,16,False,random_control,0.057047673586720374,0.013078527464569122,0.057047673586720374,15,0,1.0,False,3,3,False,False,0.7333333333333333,2,0
mgab,minmax,32,16,False,input_norm_control,0.0557378135572001,0.011147652273664172,0.057047673586720374,15,6,0.84912109375,False,5,6,True,False,0.7333333333333333,2,0
mgab,robust,8,1,False,esn_residual,0.1369812501822156,0.013873897665962838,0.05615605185339527,15,15,3.0517578125e-05,True,1,1,False,True,0.7333333333333333,2,0
mgab,robust,8,1,False,delay_line_residual,0.05587721866651319,0.010443627872625212,0.05615605185339527,15,7,0.696380615234375,False,3,2,True,False,0.7333333333333333,2,0
mgab,robust,8,1,False,persistence_residual,0.05582603223415467,0.010072667771009534,0.05615605185339527,15,6,0.84912109375,False,4,5,True,False,0.7333333333333333,2,0
