dataset,series,method,replicate,target_false_alarm_rate,threshold,precision,recall,f1,false_alarm_rate,n_alarms,calibrated_threshold
mgab,1,esn_residual,0,0.047619047619047616,0.023870258424224744,0.15079834417504434,0.1589775561097257,0.15477996965098634,0.04233989857294492,1691,0.02713656935194564
mgab,1,esn_residual,0,0.09523809523809523,0.022129982758642086,0.09432288586635128,0.19887780548628428,0.12795828319294023,0.09031135747139993,3382,0.02713656935194564
mgab,1,esn_residual,0,0.14285714285714285,0.02108948957234702,0.07351202207331493,0.23254364089775562,0.1117100928421683,0.13860714706922986,5074,0.02713656935194564
mgab,1,esn_residual,0,0.19047619047619047,0.020272810213128878,0.06459719142645971,0.2724438902743142,0.1044330266459553,0.18657860596768486,6765,0.02713656935194564
mgab,1,esn_residual,0,0.23809523809523808,0.01960373763269274,0.059477356036419536,0.31359102244389025,0.09999006063015604,0.2345205802571058,8457,0.02713656935194564
mgab,1,esn_residual,0,0.2857142857142857,0.018984579630668463,0.056562869530942056,0.35785536159601,0.09768550034036758,0.2822856468923222,10148,0.02713656935194564
mgab,1,esn_residual,0,0.3333333333333333,0.018430591694922782,0.054138513513513516,0.39962593516209477,0.09535852424873549,0.330198136572709,11840,0.02713656935194564
mgab,1,esn_residual,0,0.38095238095238093,0.01794100632560003,0.053876284088389625,0.4544887780548628,0.09633300297324082,0.377461964854346,13531,0.02713656935194564
mgab,1,esn_residual,0,0.42857142857142855,0.01746211673942355,0.052095651031401916,0.49438902743142144,0.0942588850588375,0.425433423752801,15222,0.02713656935194564
mgab,1,esn_residual,0,0.47619047619047616,0.016989254329118353,0.050668085609554214,0.53428927680798,0.09255859164056594,0.47343436726029015,16914,0.02713656935194564
mgab,1,esn_residual,0,0.5238095238095238,0.016529785283140086,0.0499865627519484,0.5798004987531172,0.09203820080162303,0.5211404646774384,18605,0.02713656935194564
mgab,1,esn_residual,0,0.5714285714285714,0.01607637915884652,0.05000739025471745,0.6327930174563591,0.09268983151454271,0.5685222313952117,20297,0.02713656935194564
mgab,1,esn_residual,0,0.6190476190476191,0.015633680224155455,0.04952701473531017,0.678927680798005,0.09231943031536113,0.6161988442033258,21988,0.02713656935194564
mgab,1,esn_residual,0,0.6666666666666666,0.015139777101182972,0.04890202702702703,0.7219451371571073,0.09159943046986237,0.6640523646656445,23680,0.02713656935194564
mgab,1,esn_residual,0,0.7142857142857143,0.014642130513976781,0.047928737534980885,0.7581047381546134,0.09015755329008342,0.7122007312183041,25371,0.02713656935194564
mgab,1,esn_residual,0,0.7619047619047619,0.014118694902975903,0.047816125933042644,0.8067331670822943,0.0902811693295193,0.7597594055902819,27062,0.02713656935194564
mgab,1,esn_residual,0,0.8095238095238095,0.013515109111907009,0.047123878416915906,0.8447630922693267,0.08926806772514659,0.8078488029248733,28754,0.02713656935194564
mgab,1,esn_residual,0,0.8571428571428571,0.01283501562302547,0.046313023484972904,0.8790523690773068,0.08799026490686138,0.856085623304635,30445,0.02713656935194564
