dataset,series,method,replicate,seed_reservoir,seed_task,seed_split,seed_control,normalize,preprocessor_id,selected_alpha,auprc,auprc_random,anomaly_rate,threshold,f1_calibrated,precision_calibrated,recall_calibrated,far_test,n_evaluated,n_train,n_calibration,n_test,t0,split_offset,wall_time_s,f1_test_optimal,pa_f1_k0,pa_f1_random_k0,pa_f1_k20,pa_f1_random_k20
mgab,1,random_control,1,0,1,2,5,zscore,b5f519585481,nan,0.045675622709163616,0.045675622709163616,0.045157657657657654,0.7358979915707096,0.015584415584415584,0.04672897196261682,0.009351620947630923,0.009022290364429768,35520,14800,8880,35520,200,201,0.03778587491251528,0.08813531555883194,0.912919749573136,0.912919749573136,0.015584415584415584,0.015584415584415584
mgab,1,input_norm_control,1,0,1,2,5,zscore,b5f519585481,nan,0.04392201926207598,0.045675622709163616,0.045157657657657654,1.959943198624842,0.011597258829731153,0.03754266211604096,0.00685785536159601,0.008314659747611747,35520,14800,8880,35520,200,201,0.038217500085011125,0.08760155422112328,0.7788928455810941,0.9199885288213364,0.011597258829731153,0.014760147601476014
mgab,1,esn_residual,2,0,1,2,5,zscore,b5f519585481,1e-08,0.1558163616570596,0.042519595116078696,0.045157657657657654,0.02679567876793243,0.1671309192200557,0.32727272727272727,0.11221945137157108,0.010909305342611158,35520,14800,8880,35520,200,389,0.03821679204702377,0.1719316416364578,0.8965902738960313,0.8572955638695884,0.1671309192200557,0.014856081708449397
mgab,1,delay_line_residual,2,0,1,2,5,zscore,b5f519585481,1e-08,0.04517814720886985,0.042519595116078696,0.045157657657657654,0.06057665730722306,0.02169421487603306,0.06325301204819277,0.013092269326683292,0.009169713409600188,35520,14800,8880,35520,200,389,0.03785045794211328,0.08650164482554064,0.7716484926234766,0.9087818696883853,0.02169421487603306,0.010330578512396695
mgab,1,persistence_residual,2,0,1,2,5,zscore,b5f519585481,nan,0.04470968193837372,0.042519595116078696,0.045157657657657654,0.26388069715756046,0.009259259259259259,0.026470588235294117,0.005610972568578554,0.009759405590281873,35520,14800,8880,35520,200,389,0.03784991684369743,0.08658900027092928,0.7667304015296366,0.9067269643866591,0.009259259259259259,0.0102880658436214
mgab,1,moving_statistics,2,0,1,2,5,zscore,b5f519585481,nan,0.04543359184958448,0.042519595116078696,0.045157657657657654,3.022786740431002,0.018471010774756286,0.05217391304347826,0.011221945137157107,0.009641467154145536,35520,14800,8880,35520,200,389,0.03799245902337134,0.08662310309445374,0.9074964639321075,0.9054473609935083,0.018471010774756286,0.01026167265264238
mgab,1,random_control,2,0,1,2,5,zscore,b5f519585481,nan,0.042519595116078696,0.042519595116078696,0.045157657657657654,0.7223811544481578,0.012458073790129373,0.026915113871635612,0.008104738154613466,0.013857766246019579,35520,14800,8880,35520,200,389,0.03755712485872209,0.08652183311716387,0.8722131593257205,0.8722131593257205,0.012458073790129373,0.012458073790129373
mgab,1,input_norm_control,2,0,1,2,5,zscore,b5f519585481,nan,0.04388265885306862,0.042519595116078696,0.045157657657657654,1.959943198624842,0.01157285639137296,0.037037037037037035,0.00685785536159601,0.008432598183748084,35520,14800,8880,35520,200,389,0.03753270790912211,0.08757577541051144,0.7778855480116393,0.9178826895565093,0.01157285639137296,0.010520778537611785
mgab,1,esn_residual,3,0,1,2,5,zscore,b5f519585481,1e-08,0.16391593799510254,0.04289735888893266,0.045157657657657654,0.027110013066661054,0.17906066536203524,0.4159090909090909,0.11408977556109726,0.007577544521759642,35520,14800,8880,35520,200,570,0.03828320908360183,0.184251158003088,0.9258297258297258,0.8852097130242825,0.17906066536203524,0.023483365949119372
mgab,1,delay_line_residual,3,0,1,2,5,zscore,b5f519585481,1e-08,0.0452418773625664,0.04289735888893266,0.045157657657657654,0.06068124912670214,0.021806853582554516,0.06521739130434782,0.013092269326683292,0.008874867319259346,35520,14800,8880,35520,200,570,0.03816791716963053,0.08650164482554064,0.7741312741312741,0.9131796185596356,0.021806853582554516,0.017653167185877464
mgab,1,persistence_residual,3,0,1,2,5,zscore,b5f519585481,nan,0.04474170497079191,0.04289735888893266,0.045157657657657654,0.26470751240265145,0.007345225603357817,0.023178807947019868,0.004364089775561097,0.008697959665054841,35520,14800,8880,35520,200,570,0.03823483409360051,0.08658900027092928,0.5938541281007034,0.9181453921007442,0.007345225603357817,0.016789087093389297
mgab,1,moving_statistics,3,0,1,2,5,zscore,b5f519585481,nan,0.04541953271119682,0.04289735888893266,0.045157657657657654,3.015787861143508,0.01834862385321101,0.05027932960893855,0.011221945137157107,0.010024767071588631,35520,14800,8880,35520,200,570,0.03772970801219344,0.08662310309445374,0.9041713641488162,0.9046813310772702,0.01834862385321101,0.020387359836901122
