experiment,rho,leak_rate,state_noise,replicate,n_units,alpha,val_nrmse,regime,amplitude_ratio,std_ratio,autocorr_peak,diverged,n_completed,stats_steps,valid_time_threshold,valid_time_steps,valid_time_lyapunov,valid_time_censored,wall_time_s
4C_stability,0.7,0.6,0.01,4,200,0.0001,0.003502196189776199,attractor,0.9766783425460167,1.0213510278627955,0.16147585606997827,False,20000,20000,0.4,85,0.7786524410524831,False,0.821305625140667
4C_stability,0.7,1.0,0.0,0,200,1e-08,3.5110112004350254e-06,attractor,1.0754095034199185,0.9985437010095339,0.1501639039031683,False,20000,20000,0.4,670,6.13761335888428,False,0.7539768328424543
4C_stability,0.7,1.0,0.0,1,200,1e-08,1.4197173971304434e-05,attractor,1.0132002397922208,1.00031459248649,0.170752996683434,False,20000,20000,0.4,865,7.923933664828211,False,0.7531482907943428
4C_stability,0.7,1.0,0.0,2,200,1e-08,6.136427386683748e-05,attractor,1.0270020216390638,1.0024721988748557,0.17742407869692856,False,20000,20000,0.4,473,4.33297181903323,False,0.7550805839709938
4C_stability,0.7,1.0,0.0,3,200,1e-08,7.525106965786633e-06,attractor,1.0388927218246042,1.0128553415855381,0.18156317273536074,False,20000,20000,0.4,803,7.355975413707576,False,0.7504492499865592
4C_stability,0.7,1.0,0.0,4,200,1e-08,3.3521185450459374e-06,attractor,1.0571463002381207,0.9978251768165153,0.28224767299876746,False,20000,20000,0.4,806,7.383457264568253,False,0.7558518331497908
4C_stability,0.7,1.0,0.0001,0,200,1e-06,0.00013056319889775627,attractor,1.169163332592497,0.9958664030198042,0.1618065219597179,False,20000,20000,0.4,650,5.9544010198131065,False,0.8173975839745253
4C_stability,0.7,1.0,0.0001,1,200,1e-08,0.0001977422416694186,attractor,1.0043371037068338,1.000566106405359,0.14167971157656278,False,20000,20000,0.4,544,4.983375622735893,False,0.8211714171338826
4C_stability,0.7,1.0,0.0001,2,200,1e-08,0.0003145434393766039,attractor,1.0316498769130171,1.0011893187557799,0.19044492774288857,False,20000,20000,0.4,468,4.287168734265436,False,0.8173870421014726
4C_stability,0.7,1.0,0.0001,3,200,1e-08,0.00013929391660383282,attractor,1.0377769498921836,1.0048253559902847,0.1818864847533818,False,20000,20000,0.4,571,5.230712280481975,False,0.8211142090149224
