experiment,task,method,replicate,seed_reservoir,seed_task,seed_split,n_units,rho,leak_rate,state_noise,alpha,val_nrmse,switch_index,warmup_steps,free_run_steps,stats_steps,dt,lyapunov_per_time,lyapunov_time,valid_time_threshold,valid_time_steps,valid_time,valid_time_lyapunov,valid_time_censored,diverged,n_completed,regime,amplitude_ratio,std_ratio,autocorr_peak,return_map_distance,return_map_distance_surrogate,spectrum_distance,spectrum_distance_surrogate,closer_than_surrogate,n_stats_samples,n_return_map_points,n_spectrum_bins,wall_time_s
4B_freerun,lorenz,linear,0,0,1,2,200,0.9,0.3,0.0,0.1,0.06245892676990961,5502,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,5,0.05,0.04580308476779313,False,False,20000,periodic,0.5326518870923176,0.13890718650786366,0.7452429584427509,1.9154984121804164,0.4840134369718692,0.8873697947363964,0.9396218361758601,False,20000,116,2049,0.24477641703560948
4B_freerun,lorenz,delay_line,0,0,1,2,200,0.9,0.3,0.0,1e-08,1.5250816608158182e-05,5502,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,34,0.34,0.3114609764209933,False,False,20000,periodic,0.355081664144707,0.12009218166790978,0.2555735647036789,1.61863090241915,0.4840134369718692,0.7985917458390134,0.9396218361758601,False,20000,356,2049,0.22864837478846312
4B_freerun,lorenz,esn,0,0,1,2,200,0.9,0.3,0.0,1e-08,1.5504886226050833e-05,5502,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,647,6.47,5.9269191689524305,False,False,20000,attractor,1.1136067980828617,0.8384794087385358,0.1865064453025796,0.4118864691862246,0.4840134369718692,0.3977032181115943,0.9396218361758601,True,20000,424,2049,0.6981415420304984
4B_freerun,lorenz,linear,1,0,1,2,200,0.9,0.3,0.0,1e-08,0.06285096299109848,5406,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,15,0.15,0.13740925430337939,False,False,20000,periodic,0.4475822601441477,0.11528025555856011,0.750957697547815,2.021167198392295,0.42388270493008984,0.9373492729708418,0.9254117301066448,False,20000,165,2049,0.24981724983081222
4B_freerun,lorenz,delay_line,1,0,1,2,200,0.9,0.3,0.0,1e-08,2.482391474885008e-05,5406,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,16,0.16,0.14656987125693802,False,False,20000,periodic,0.5473661045807968,0.08728494228972045,0.061933616711557046,1.2911186914133874,0.42388270493008984,0.8391590577173401,0.9254117301066448,False,20000,376,2049,0.224748499924317
4B_freerun,lorenz,esn,1,0,1,2,200,0.9,0.3,0.0,1e-07,0.00018186049976533884,5406,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,618,6.18,5.66126127729923,False,False,20000,attractor,1.0226841671378708,0.99657802702186,0.15908084552254326,0.016818304057893696,0.42388270493008984,0.3736952401381147,0.9254117301066448,True,20000,266,2049,0.6853437500540167
4B_freerun,lorenz,linear,2,0,1,2,200,0.9,0.3,0.0,1e-08,0.06257842622797403,5469,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,8,0.08,0.07328493562846901,False,False,20000,periodic,0.22308439833868826,0.09283490108481657,0.7166850435625811,1.9880212853934676,0.40578638440642345,0.9327089524840331,0.9325515363363779,False,20000,104,2049,0.2525396670680493
4B_freerun,lorenz,delay_line,2,0,1,2,200,0.9,0.3,0.0,1e-08,2.5386618470218704e-05,5469,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,20,0.2,0.18321233907117251,False,False,20000,periodic,0.2566415603982871,0.041184718715255496,-0.0001065195392159965,1.6417528294768045,0.40578638440642345,0.9282058638205776,0.9325515363363779,False,20000,363,2049,0.2292475001886487
4B_freerun,lorenz,esn,2,0,1,2,200,0.9,0.3,0.0,1e-06,0.0003422444523101997,5469,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,461,4.61,4.223044415590526,False,False,20000,attractor,0.995410063237147,0.7995731743542345,0.0052151443917777965,0.36361172361810656,0.40578638440642345,0.41279321410544356,0.9325515363363779,True,20000,313,2049,0.6887321250978857
4B_freerun,lorenz,linear,3,0,1,2,200,0.9,0.3,0.0,1e-08,0.06094374876314084,5529,200,2000,20000,0.01,0.9160616953558626,1.0916295322353042,0.4,3,0.03,0.027481850860675876,False,False,20000,attractor,1.0586592180699412,0.21381214038341256,0.7334991748179197,1.3041872144724211,0.3925557061369136,0.8779370366097282,0.9305926993344595,False,20000,182,2049,0.2508510418701917
