experiment,condition_id,replicate,diagnostic,key,value
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,memory_capacity,mc_ratio,1.3644585648071896
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,memory_capacity,n_delays,400.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,ipc_total,600.9955746637431
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,ipc_total_raw,600.9955746637431
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,ipc_linear,59.996147730458674
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,ipc_nonlinear,540.9994269332844
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,n_targets,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,n_targets_kept,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,saturation_ratio,3.004977873318716
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,ipc_threshold_degree1,0.032288300005499156
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,ipc_threshold_degree2,0.4975748077172858
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,ipc_threshold_degree3,0.042185227923093024
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,2,ipc,ipc_threshold_degree4,0.28723189713059066
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,memory_capacity,mc_total,261.795056646338
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,memory_capacity,mc_total_raw,261.795056646338
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,memory_capacity,mc_threshold,0.03425776144214835
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,memory_capacity,mc_effective_delay,147.31016792827774
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,memory_capacity,mc_ratio,1.30897528323169
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,memory_capacity,n_delays,400.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0,3,ipc,ipc_total,600.994078530592
