task,method,replicate,n_units,horizon,nrmse_horizon,log10_nrmse_horizon,nrmse_mean_to_horizon,diverged,wall_time_s
mackey_glass,esn,0,200,84,0.006008939291131349,-2.2212021836818594,0.0061314920586707684,False,0.14292045799084008
mackey_glass,esn,1,200,84,0.00935785130512612,-2.0288238599641284,0.002897132205284387,False,0.14059808291494846
mackey_glass,esn,2,200,84,0.01752045935093441,-1.7564545116975676,0.015953457154104813,False,0.14014412509277463
mackey_glass,esn,3,200,84,0.0023749225862987927,-2.624350542203831,0.0037354852524511106,False,0.1410011660773307
mackey_glass,esn,4,200,84,0.010546688469617755,-1.9768838820850894,0.00922748631213031,False,0.13943862495943904
