experiment,replicate,seed_reservoir,seed_drive,seed_probe,rho,leak_rate,input_scale,sigma_u,input_amplitude,input_drive_std,n_units,density,n_steps,washout,window,n_pairs,d_initial,d_tail,converged,decay_rate_per_step,lyapunov_per_step,lyapunov_per_time,tau_1e,tau_censored,tau_integrated,wall_time_s
2A_decay,2,0,1,3,0.5,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.32157983072912777,0.0,1,-0.7286347477929264,-0.6938424565346435,-0.6938424565346435,1.5287853444515158,1.5287853444515158,2.0002907938107986,0.33754495810717344
2A_decay,2,0,1,3,0.8,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.47459184173505425,0.0,1,-0.2289719343636271,-0.22383882728892218,-0.22383882728892218,4.512346114368455,4.512346114368455,5.0003099070954455,0.33566787489689887
2A_decay,2,0,1,3,0.95,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.5390137029384608,3.2577749865463544e-66,1,-0.051415398324015836,-0.05198857036232853,-0.05198857036232853,19.497763293665635,19.497763293665635,19.93714735915711,0.34763770806603134
2A_decay,2,0,1,3,1.2,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.6309749911711001,0.8867036539942094,0,1.079148949510777e-05,-0.06402854655012354,-0.06402854655012354,2.1408114348359226,2.1408114348359226,2.240272992698678,0.33344908407889307
2A_decay,2,0,1,3,1.5,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.7203131869195677,1.2260429831587345,0,1.935728046686997e-05,-0.021028639219527533,-0.021028639219527533,0.3288331896554627,0.3288331896554627,0.9999999999999903,0.33404020802117884
2B_timescale,0,0,1,3,0.9,0.1,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.6940562380752767,1.1721454792223614e-17,1,-0.01685688283971947,-0.01719246235261308,-0.01719246235261308,14.016261132226012,14.016261132226012,12.892141194928723,0.3337501671630889
2B_timescale,0,0,1,3,0.9,0.2,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.6345905916967844,1.5359038185691302e-17,1,-0.03471205976813377,-0.03466980172503363,-0.03466980172503363,6.619468535643543,6.619468535643543,7.15177570975787,0.33383458317257464
2B_timescale,0,0,1,3,0.9,0.3,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.5707987668348734,1.720749604406767e-17,1,-0.05597237428344762,-0.05318675641421517,-0.05318675641421517,4.002923747556766,4.002923747556766,4.735700447098887,0.3344716669525951
2B_timescale,0,0,1,3,0.9,0.5,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.4654494618419834,2.2858272120583878e-17,1,-0.09094880033734014,-0.09383835368728671,-0.09383835368728671,2.1154994347198017,2.1154994347198017,2.5328314036282302,0.3368157499935478
2B_timescale,0,0,1,3,0.9,0.7,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.4166156366579895,3.642043698092271e-17,1,-0.13506064937343878,-0.14081401233120563,-0.14081401233120563,1.2866200300814792,1.2866200300814792,1.6764334153277172,0.3351521249860525
2B_timescale,0,0,1,3,0.9,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.4961416884482763,6.467075202747585e-17,1,-0.2434938178937026,-0.23409969444830392,-0.23409969444830392,0.6746475360312202,0.6746475360312202,1.0630358445431194,0.3360245421063155
2B_timescale,1,0,1,3,0.9,0.1,1.0,0.5,0.8660254037844386,0.5015719236678187,200,0.1,3000,200,200,10,0.7066514456182613,1.4575524120172366e-17,1,-0.022377717769032437,-0.022124503297689616,-0.022124503297689616,14.326811342147119,14.326811342147119,17.32876070339048,0.3345991668757051
2B_timescale,1,0,1,3,0.9,0.2,1.0,0.5,0.8660254037844386,0.5015719236678187,200,0.1,3000,200,200,10,0.6358245282759739,1.629330533469854e-17,1,-0.04464421103432508,-0.04462211256772332,-0.04462211256772332,6.734919976143582,6.734919976143582,7.735666332323922,0.3341782500501722
