experiment,condition_id,replicate,diagnostic,key,value
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,esp_convergence,n_fit_points,2990.0
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,conditional_lyapunov,lyapunov_per_step,-0.0005578672443587939
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,conditional_lyapunov,lyapunov_per_time,-0.0005578672443587939
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,conditional_lyapunov,n_intervals,2799.0
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,conditional_lyapunov,max_observed_growth,1.071639736378225
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,autocorrelation_time,tau_1e,0.34360501305459507
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,autocorrelation_time,tau_censored,0.34360501305459507
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,autocorrelation_time,tau_integrated,1.0
2A_decay,leak_rate=1|n_units=200|rho=1.2|sigma_u=0,0,autocorrelation_time,max_lag,200.0
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,esp_convergence,d_initial,0.7412191652863538
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,esp_convergence,d_tail,0.9442118702994546
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,esp_convergence,converged,0.0
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,esp_convergence,decay_rate_per_step,2.204090624432048e-05
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,esp_convergence,n_pairs,10.0
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,esp_convergence,n_fit_points,2990.0
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,conditional_lyapunov,lyapunov_per_step,0.03012383661164452
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,conditional_lyapunov,lyapunov_per_time,0.03012383661164452
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,conditional_lyapunov,n_intervals,2799.0
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,conditional_lyapunov,max_observed_growth,1.2787287009093082
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,autocorrelation_time,tau_1e,0.6057791401756835
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,autocorrelation_time,tau_censored,0.6057791401756835
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,autocorrelation_time,tau_integrated,1.0
2A_decay,leak_rate=1|n_units=200|rho=1.5|sigma_u=0,0,autocorrelation_time,max_lag,200.0
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,esp_convergence,d_initial,0.3210026755846333
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,esp_convergence,d_tail,0.0
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,esp_convergence,converged,1.0
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,esp_convergence,decay_rate_per_step,-0.7318317694439828
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,esp_convergence,n_pairs,10.0
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,esp_convergence,n_fit_points,33.0
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,conditional_lyapunov,lyapunov_per_step,-0.6939023731199442
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,conditional_lyapunov,lyapunov_per_time,-0.6939023731199442
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,conditional_lyapunov,n_intervals,2799.0
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,conditional_lyapunov,max_observed_growth,0.5428212447870169
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,autocorrelation_time,tau_1e,0.7530189461342028
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,autocorrelation_time,tau_censored,0.7530189461342028
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,autocorrelation_time,tau_integrated,1.160551587614502
2A_decay,leak_rate=1|n_units=200|rho=0.5|sigma_u=0,1,autocorrelation_time,max_lag,200.0
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,esp_convergence,d_initial,0.4720894196225172
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,esp_convergence,d_tail,0.0
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,esp_convergence,converged,1.0
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,esp_convergence,decay_rate_per_step,-0.23487056546062812
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,esp_convergence,n_pairs,10.0
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,esp_convergence,n_fit_points,120.0
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,conditional_lyapunov,lyapunov_per_step,-0.22389874387420816
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,conditional_lyapunov,lyapunov_per_time,-0.22389874387420816
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,conditional_lyapunov,n_intervals,2799.0
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,conditional_lyapunov,max_observed_growth,0.8685139916592269
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,autocorrelation_time,tau_1e,0.8414255051021902
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,autocorrelation_time,tau_censored,0.8414255051021902
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,autocorrelation_time,tau_integrated,1.2487504181944322
2A_decay,leak_rate=1|n_units=200|rho=0.8|sigma_u=0,1,autocorrelation_time,max_lag,200.0
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,esp_convergence,d_initial,0.534636318598647
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,esp_convergence,d_tail,3.755317233730987e-66
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,esp_convergence,converged,1.0
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,esp_convergence,decay_rate_per_step,-0.05151889587923309
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,esp_convergence,n_pairs,10.0
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,esp_convergence,n_fit_points,582.0
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,conditional_lyapunov,lyapunov_per_step,-0.05204848694755692
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,conditional_lyapunov,lyapunov_per_time,-0.05204848694755692
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,conditional_lyapunov,n_intervals,2799.0
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,conditional_lyapunov,max_observed_growth,1.0313603650962662
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,autocorrelation_time,tau_1e,0.8835969917114405
2A_decay,leak_rate=1|n_units=200|rho=0.95|sigma_u=0,1,autocorrelation_time,tau_censored,0.8835969917114405
