experiment,replicate,offset_ratio,drive_mean,drive_std,rho,leak_rate,n_units,sigma_u,n_steps,degree,capacity,capacity_raw,ipc_total,wall_time_s
3S_symmetry,0,0.0,0.00013431698535530394,0.20099158102858483,0.95,1.0,50,0.2,30000,1,14.511929152696323,14.551960418337707,29.962607156350533,0.944781124824658
3S_symmetry,0,0.0,0.00013431698535530394,0.20099158102858483,0.95,1.0,50,0.2,30000,2,0.04100103973926528,0.3756893197806468,29.962607156350533,0.944781124824658
3S_symmetry,0,0.0,0.00013431698535530394,0.20099158102858483,0.95,1.0,50,0.2,30000,3,15.409676963914952,15.409676963914952,29.962607156350533,0.944781124824658
3S_symmetry,0,0.0,0.00013431698535530394,0.20099158102858483,0.95,1.0,50,0.2,30000,4,0.0,0.22576897109812288,29.962607156350533,0.944781124824658
3S_symmetry,0,0.5,0.10013431698535531,0.20099158102858483,0.95,1.0,50,0.2,30000,1,13.911170495919233,13.948592628450609,33.17985790518266,0.9202435419429094
3S_symmetry,0,0.5,0.10013431698535531,0.20099158102858483,0.95,1.0,50,0.2,30000,2,8.792174275028454,8.854375194682321,33.17985790518266,0.9202435419429094
3S_symmetry,0,0.5,0.10013431698535531,0.20099158102858483,0.95,1.0,50,0.2,30000,3,10.068808410574551,10.071191128430687,33.17985790518266,0.9202435419429094
3S_symmetry,0,0.5,0.10013431698535531,0.20099158102858483,0.95,1.0,50,0.2,30000,4,0.40770472366042054,0.4930454201817427,33.17985790518266,0.9202435419429094
3S_symmetry,0,1.0,0.20013431698535533,0.20099158102858483,0.95,1.0,50,0.2,30000,1,13.004566972411665,13.043412759324351,35.40246389599672,0.9242625841870904
3S_symmetry,0,1.0,0.20013431698535533,0.20099158102858483,0.95,1.0,50,0.2,30000,2,15.322101265305406,15.351158504253773,35.40246389599672,0.9242625841870904
3S_symmetry,0,1.0,0.20013431698535533,0.20099158102858483,0.95,1.0,50,0.2,30000,3,6.4508891678922184,6.4607368759811985,35.40246389599672,0.9242625841870904
3S_symmetry,0,1.0,0.20013431698535533,0.20099158102858483,0.95,1.0,50,0.2,30000,4,0.6249064903874153,0.6782655911079581,35.40246389599672,0.9242625841870904
3S_symmetry,0,2.0,0.40013431698535534,0.20099158102858483,0.95,1.0,50,0.2,30000,1,11.330291842358177,11.383898885776702,36.5510930608967,0.928884832886979
3S_symmetry,0,2.0,0.40013431698535534,0.20099158102858483,0.95,1.0,50,0.2,30000,2,19.33202881999766,19.36531105080356,36.5510930608967,0.928884832886979
3S_symmetry,0,2.0,0.40013431698535534,0.20099158102858483,0.95,1.0,50,0.2,30000,3,5.245875580330506,5.2636535772734145,36.5510930608967,0.928884832886979
3S_symmetry,0,2.0,0.40013431698535534,0.20099158102858483,0.95,1.0,50,0.2,30000,4,0.6428968182103335,0.6922217070353122,36.5510930608967,0.928884832886979
3S_symmetry,0,3.0,0.6001343169853555,0.20099158102858483,0.95,1.0,50,0.2,30000,1,10.503041100771103,10.56950957835739,36.212720134434676,0.9324605001602322
3S_symmetry,0,3.0,0.6001343169853555,0.20099158102858483,0.95,1.0,50,0.2,30000,2,18.90703232475437,19.013008150209853,36.212720134434676,0.9324605001602322
