experiment,sweep_axis,level,topology_kind,graph,replicate,n_units,n_steps,rho,leak_rate,sigma_u,state_noise,nominal_density,realized_density,in_degree_max,in_degree_std,gain_max,gain_std,mc_total,mc_effective_delay,ipc_total,ipc_linear,ipc_nonlinear,wall_time_s
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,4,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1472,7.0,1.6424372134118248,1.4595171373177604,0.31608747695503997,10.831993819493217,6.817591558527407,17.22206779430659,10.830774173343373,6.391293620963216,0.6604368330445141
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,4,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1472,7.0,1.6424372134118248,1.6687818545044721,0.3531671544880112,11.15294528080047,7.3715362476836965,17.538475341185254,11.119497868538046,6.418977472647208,0.6673456248827279
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,4,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1472,7.0,1.6424372134118248,1.6387259786054627,0.40574696330494736,11.77977696535878,7.750475024215378,19.5136734666431,11.720608816626145,7.793064650016957,0.6619745420757681
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,5,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1408,6.0,1.4176036117335482,1.2053440302343341,0.33212063463477315,11.29277902873319,7.582552456494994,16.771057754930297,11.272466522029463,5.498591232900834,0.6652572089806199
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,5,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1408,6.0,1.4176036117335482,1.3608413312056915,0.35469012152238716,11.340407710106247,6.8218341896248536,17.34562826973976,11.338802397481476,6.006825872258283,0.6624442909378558
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,5,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1408,6.0,1.4176036117335482,0.9716842736251524,0.24713772023251754,8.491063436431096,5.672156009054242,14.841580710833032,8.47078258307086,6.370798127762171,0.6677460840437561
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,6,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1712,9.0,1.7780888616714297,1.7809554244193577,0.30474311642111274,12.34607528788605,7.621982436806629,19.049990474198278,12.330848072110568,6.71914240208771,0.6669631670229137
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,6,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1712,9.0,1.7780888616714297,1.4954491985143943,0.28325489443945523,12.341783468084923,7.584348446891525,18.409182388171537,12.314896703531359,6.0942856846401785,0.660362625028938
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,6,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1712,9.0,1.7780888616714297,1.4695425203730805,0.31262593046481074,12.190854962793699,7.903328956397537,17.067036735700107,12.17245894436292,4.894577791337188,0.6640350411180407
3T_topology_ladder,n_units,erdos_renyi,erdos_renyi,7,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,7.0,1.6752313273097539,1.4666942569913275,0.3638645232997221,10.34002568643027,6.151092937975141,15.70368410961513,10.338629752349478,5.365054357265652,0.6652179579250515
