experiment,threshold_mode,n_surrogates,surrogate_quantile,level,graph,replicate,mc_total,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,wall_time_s
3Th_ladder_threshold,surrogate,25,0.99,erdos_renyi,3,0,15.442586850872125,33.13202596441487,34.02525436451114,15.441723248267264,17.690302716147606,0.21865862514823675
3Th_ladder_threshold,surrogate,25,0.999,erdos_renyi,3,0,15.43861244686602,33.123820939199675,34.02525436451114,15.441723248267264,17.68209769093241,0.2173392919357866
3Th_ladder_threshold,surrogate,100,0.95,erdos_renyi,3,0,15.457582375507387,33.19755367661903,34.02525436451114,15.452321350329646,17.745232326289383,0.5929093328304589
3Th_ladder_threshold,surrogate,100,0.99,erdos_renyi,3,0,15.43861244686602,33.12804198635497,34.02525436451114,15.441723248267264,17.686318738087706,0.5908929579891264
3Th_ladder_threshold,surrogate,100,0.999,erdos_renyi,3,0,15.43861244686602,33.120101161640264,34.02525436451114,15.437865519769531,17.682235641870733,0.5946749579161406
3Th_ladder_threshold,surrogate,400,0.95,erdos_renyi,3,0,15.457582375507387,33.193867181767615,34.02525436451114,15.448905844978514,17.744961336789103,2.1875118338502944
3Th_ladder_threshold,surrogate,400,0.99,erdos_renyi,3,0,15.442586850872125,33.12804198635497,34.02525436451114,15.441723248267264,17.686318738087706,2.165283458074555
3Th_ladder_threshold,surrogate,400,0.999,erdos_renyi,3,0,15.43861244686602,33.115880114484966,34.02525436451114,15.437865519769531,17.678014594715435,2.1727635839488357
3Th_ladder_threshold,none,25,0.95,erdos_renyi,3,1,16.00448030096759,31.36179028530936,31.36179028530936,15.16489205398407,16.196898231325292,0.12031099991872907
3Th_ladder_threshold,surrogate,25,0.95,erdos_renyi,3,1,15.240704729423308,30.663639420014693,31.36179028530936,15.12650336558562,15.537136054429073,0.21653204108588398
3Th_ladder_threshold,surrogate,25,0.99,erdos_renyi,3,1,15.215489875827256,30.495387932410328,31.36179028530936,15.119569445257511,15.375818487152817,0.2163175418972969
3Th_ladder_threshold,surrogate,25,0.999,erdos_renyi,3,1,15.205814981162371,30.480508961118016,31.36179028530936,15.119569445257511,15.360939515860505,0.21911191707476974
3Th_ladder_threshold,surrogate,100,0.95,erdos_renyi,3,1,15.151400047207563,30.57187950326072,31.36179028530936,15.12650336558562,15.445376137675101,0.5918263748753816
3Th_ladder_threshold,surrogate,100,0.99,erdos_renyi,3,1,15.118215224389747,30.418213670973078,31.36179028530936,15.112009539818231,15.306204131154846,0.5946632500272244
3Th_ladder_threshold,surrogate,100,0.999,erdos_renyi,3,1,15.114121118529047,30.393326943367285,31.36179028530936,15.099689282702236,15.293637660665048,0.5916909168008715
3Th_ladder_threshold,surrogate,400,0.95,erdos_renyi,3,1,15.154927507630818,30.582473851177497,31.36179028530936,15.12650336558562,15.455970485591877,2.180344833061099
3Th_ladder_threshold,surrogate,400,0.99,erdos_renyi,3,1,15.129844509968041,30.43454785530495,31.36179028530936,15.112009539818231,15.322538315486717,2.1879638750106096
3Th_ladder_threshold,surrogate,400,0.999,erdos_renyi,3,1,15.114121118529047,30.388777176006183,31.36179028530936,15.104004953007362,15.284772222998821,2.187797457911074
3Th_ladder_threshold,none,25,0.95,control_symmetric,0,0,15.675795189853291,30.983205817666075,30.983205817666075,14.823625315199154,16.159580502466923,0.12118883291259408
3Th_ladder_threshold,surrogate,25,0.95,control_symmetric,0,0,14.908504057995815,30.181552073607776,30.983205817666075,14.781137425747126,15.40041464786065,0.2179596251808107
3Th_ladder_threshold,surrogate,25,0.99,control_symmetric,0,0,14.827746952259014,30.09614319143033,30.983205817666075,14.781137425747126,15.315005765683203,0.21698991698212922
3Th_ladder_threshold,surrogate,25,0.999,control_symmetric,0,0,14.824155773118703,30.073222924619486,30.983205817666075,14.77388580237447,15.299337122245015,0.21642595785669982
3Th_ladder_threshold,surrogate,100,0.95,control_symmetric,0,0,14.898842209764283,30.139738629944056,30.983205817666075,14.781137425747126,15.35860120419693,0.5994411250576377
3Th_ladder_threshold,surrogate,100,0.99,control_symmetric,0,0,14.824155773118703,30.07710971282833,30.983205817666075,14.777536389041533,15.299573323786799,0.5998494171071798
3Th_ladder_threshold,surrogate,100,0.999,control_symmetric,0,0,14.809190950115218,30.048886928631656,30.983205817666075,14.765730074365644,15.283156854266013,0.5992467498872429
