experiment,n_units,leak_rate,method,replicate,alpha,n_lags,nrmse,nmse,rmse,mc_total,ipc_total,ipc_linear,ipc_nonlinear,nonlinear_share,wall_time_s
3C2_narma10_operating,25,0.3,linear,0,100.0,0,1.0147244503074777,1.0296657100518127,0.11094512594233541,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line,0,10.0,30,0.3952810654349529,0.15624712069139152,0.043218144171072996,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,esn,0,1e-06,0,0.5430834509167459,0.29493963465964157,0.059378151222136265,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line_ols,0,0.0,30,0.390331493450001,0.1523586747789082,0.04267698160515203,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,linear,1,100.0,0,1.0009270988379626,1.0018550571881806,0.10795802733625796,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line,1,1e-10,30,0.3811273121985076,0.14525802810365868,0.04110764194184534,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,esn,1,1e-10,0,0.5320614892820152,0.283089428376996,0.05738710528585337,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line_ols,1,0.0,30,0.38112731219847684,0.14525802810363522,0.04110764194184202,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,linear,2,100.0,0,1.0265367467791666,1.053777692487955,0.10720514020942726,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line,2,1.0,25,0.40679684621539036,0.16548367409078796,0.042483343214069554,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,esn,2,1e-10,0,0.5448444260988649,0.2968554486510014,0.056900177490498735,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
