experiment,condition_id,replicate,diagnostic,key,value
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.5|state_noise=0,0,ipc,n_targets,601.0
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.5|state_noise=0,0,ipc,n_targets_kept,304.0
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.5|state_noise=0,0,ipc,saturation_ratio,0.6205131352089629
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.5|state_noise=0,0,ipc,ipc_threshold_degree1,0.011438336542650994
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.5|state_noise=0,0,ipc,ipc_threshold_degree2,0.011755914361040566
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.5|state_noise=0,0,ipc,ipc_threshold_degree3,0.011904818197880885
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.5|state_noise=0,0,ipc,ipc_threshold_degree4,0.012023888394114531
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_total,14.76506524835274
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_total_raw,16.458505842379164
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_threshold,0.008576983875757326
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_effective_delay,31.297303074927893
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_ratio,0.07382532624176369
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,n_delays,400.0
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_total,33.24519280800928
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_total_raw,35.23510801097476
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_linear,12.11356968248668
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_nonlinear,21.131623125522598
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,n_targets,601.0
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,n_targets_kept,308.0
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,saturation_ratio,0.1662259640400464
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree1,0.007844705792790648
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree2,0.00816849281403036
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree3,0.008235385147095238
3A_mc_sweep,leak_rate=0.3|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree4,0.008246723634959022
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_total,16.868760926269797
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_total_raw,19.95365695367994
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_threshold,0.011426667512174067
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_effective_delay,15.492807599070584
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_ratio,0.08434380463134898
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,n_delays,400.0
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_total,80.15620825952138
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_total_raw,82.71601898511092
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_linear,16.793799987513076
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_nonlinear,63.3624082720083
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,n_targets,601.0
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,n_targets_kept,346.0
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,saturation_ratio,0.4007810412976069
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree1,0.011481260403253665
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree2,0.011505547332901295
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree3,0.011627374007876584
3A_mc_sweep,leak_rate=0.6|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree4,0.011874488566154058
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_total,20.860390862139255
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_total_raw,24.518085730657702
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_threshold,0.01274053868457021
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_effective_delay,11.805218909105287
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,mc_ratio,0.10430195431069628
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,memory_capacity,n_delays,400.0
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_total,137.56169202954783
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_total_raw,140.55707180070453
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_linear,20.776694193247312
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_nonlinear,116.78499783630052
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,ipc,n_targets,601.0
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,ipc,n_targets_kept,319.0
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,ipc,saturation_ratio,0.6878084601477391
3A_mc_sweep,leak_rate=1|n_units=200|rho=0.7|state_noise=0,0,ipc,ipc_threshold_degree1,0.012154059808795251
