experiment,n_lags,method,replicate,alpha,n_train,taps_per_train,nmse,nrmse,rmse,t0,wall_time_s
3Cp_narma10_taps,10,delay_line,0,1.0,3800,0.002631578947368421,0.360934163869461,0.6007779655325759,0.06568619395067757,200,0.2857120828703046
3Cp_narma10_taps,10,delay_line_ols,0,0.0,3800,0.002631578947368421,0.3612333831520791,0.601026940454485,0.06571341567974828,200,0.2857120828703046
3Cp_narma10_taps,10,delay_line,1,1e-10,3800,0.002631578947368421,0.322405964256163,0.5678080346879243,0.06124265733413762,200,0.2857120828703046
3Cp_narma10_taps,10,delay_line_ols,1,0.0,3800,0.002631578947368421,0.32240596425612295,0.567808034687889,0.0612426573341338,200,0.2857120828703046
3Cp_narma10_taps,10,delay_line,2,10.0,3800,0.002631578947368421,0.3556889343502731,0.5963966250325978,0.06228396987020207,200,0.2857120828703046
3Cp_narma10_taps,10,delay_line_ols,2,0.0,3800,0.002631578947368421,0.3541361592255393,0.5950934037825821,0.062147869514057784,200,0.2857120828703046
3Cp_narma10_taps,30,delay_line,0,10.0,3800,0.007894736842105263,0.15624712069139152,0.3952810654349529,0.043218144171072996,200,0.2899062919896096
3Cp_narma10_taps,30,delay_line_ols,0,0.0,3800,0.007894736842105263,0.1523586747789082,0.390331493450001,0.04267698160515203,200,0.2899062919896096
3Cp_narma10_taps,30,delay_line,1,1e-10,3800,0.007894736842105263,0.14525802810365868,0.3811273121985076,0.04110764194184534,200,0.2899062919896096
3Cp_narma10_taps,30,delay_line_ols,1,0.0,3800,0.007894736842105263,0.14525802810363522,0.38112731219847684,0.04110764194184202,200,0.2899062919896096
3Cp_narma10_taps,30,delay_line,2,10.0,3800,0.007894736842105263,0.1565596139770985,0.3956761478496,0.041321966350287606,200,0.2899062919896096
3Cp_narma10_taps,30,delay_line_ols,2,0.0,3800,0.007894736842105263,0.1621951338721827,0.4027345699988799,0.042059104244810214,200,0.2899062919896096
3Cp_narma10_taps,100,delay_line,0,10.0,3800,0.02631578947368421,0.15981766934390462,0.3997720217122562,0.04370916388547522,200,0.2964452498126775
3Cp_narma10_taps,100,delay_line_ols,0,0.0,3800,0.02631578947368421,0.16169338114903886,0.4021111552158667,0.04396491357306319,200,0.2964452498126775
3Cp_narma10_taps,100,delay_line,1,1e-10,3800,0.02631578947368421,0.1462299027001851,0.38240018658492453,0.04124493166850371,200,0.2964452498126775
3Cp_narma10_taps,100,delay_line_ols,1,0.0,3800,0.02631578947368421,0.1462299027001743,0.38240018658491043,0.04124493166850219,200,0.2964452498126775
3Cp_narma10_taps,100,delay_line,2,10.0,3800,0.02631578947368421,0.15778569300690265,0.39722247293790247,0.04148345496569368,200,0.2964452498126775
3Cp_narma10_taps,100,delay_line_ols,2,0.0,3800,0.02631578947368421,0.16712959360549154,0.40881486470710865,0.04269409256720149,200,0.2964452498126775
3Cp_narma10_taps,300,delay_line,0,10.0,3750,0.08,0.1719384354722793,0.4146545977946938,0.04510944663838551,300,0.35333841713145375
